"jp_text","kr_text"
店で新しい鉛筆を買った。,가게에서 새 연필을 샀다.
箒で玄関の落ち葉を掃き集めた。,빗자루로 현관의 낙엽을 쓸어 모았다.
その言葉からどんなイメージを連想しますか。,그 말에서 어떤 이미지를 떠올리나요?
泣いている子供の頭を優しく撫で撫でして、落ち着かせてあげた。,울고 있는 아이의 머리를 상냥하게 쓰다듬어 진정시켜 주었다.
空港で円をドルに両替した。,공항에서 엔화를 달러로 환전했다.
閣僚のスキャンダルが続き、内閣支持率が低下している。,각료 스캔들이 이어지며 내각 지지율이 떨어지고 있다.
段々寒くなってきたから、コートを出した。,점점 추워져서 코트를 꺼냈다.
出発までまだ時間に余裕がある。,출발까지 아직 시간에 여유가 있다.
気象情報を確認してから登山計画を立てた。,기상 정보를 확인한 뒤 등산 계획을 세웠다.
年に一度のおまつり。,일 년에 한 번 있는 축제.
音楽フェスに行くのが楽しみです。,음악 페스티벌에 가는 것이 기대됩니다.
人類は、長い年月をかけて進化してきた。,인류는 오랜 세월에 걸쳐 진화해왔다.
冬は寒くて雪が降る。,겨울은 추워서 눈이 내린다.
兄は弟のめんどうをみます。,형은 남동생을 돌봅니다.
彼は協会公認のコーチとして活動している。,그는 협회 공인 코치로 활동하고 있다.
会社へ行くお父さん。,회사에 가는 아빠.
調査によると、結果は良好だった。,"조사에 따르면, 결과는 양호했다."
高校の化学の授業で、簡単な実験をして酸と塩基の反応を確かめた。,고등학교 화학 시간에 간단한 실험으로 산과 염기의 반응을 확인했다.
水は水素と酸素からなる元素だ。,물은 수소와 산소로 이루어진 원소이다.
近くの公園までさんぽします。,근처 공원까지 산책합니다.
朝食は豆腐と味噌汁でさっぱり済ませた。,아침은 두부와 된장국으로 담백하게 해결했다.
納豆はよくかき混ぜると香りがまろやかになる。,낫토는 잘 저으면 향이 부드러워진다.
すみません、ビールを追加でお願いします。,"실례합니다, 맥주 추가로 부탁합니다."
寿司屋のカウンターで、大トロの握りを注文した。,초밥집 카운터에서 오도로(참치 뱃살) 초밥을 주문했다.
車に気をつけてください。,차를 조심하세요.
白い雪が積もっている。,하얀 눈이 쌓여 있다.
今日の空は雲一つない。,오늘 하늘은 구름 한 점 없다.
田んぼで米をつくります。,논에서 쌀을 만듭니다.
図書館の本は、分野ごとに整然と並べられている。,도서관의 책은 분야별로 정연하게 정렬되어 있다.
七月は、七夕の飾り付けをする。,"7월은 칠석 장식을 한다."
八月は、夏休みで海に行く。,"8월은 여름방학이라 바다에 간다."
九月になると、少し涼しくなる。,"9월이 되면 조금 시원해진다."
十一月は、七五三のお祝いをする。,"11월은 시치고산 축하를 한다."
計画をたてて、勉強します。,계획을 세워 공부합니다.
元気よくあいさつをします。,활기차게 인사를 합니다.
犯人はその場で警察に拘束された。,범인은 그 자리에서 경찰에 의해 구속되었다.
銀行に預けると利子がつく。,은행에 예금하면 이자가 붙는다.
借金の利息が高すぎる。,빚의 이자가 너무 비싸다.
新しい美術館の構想が市から発表された。,새 미술관 구상이 시에서 발표되었다.
高齢化で村の耕地の多くが放置されている。,고령화로 마을의 경작지가 많이 방치되어 있다.
クモや水黽などの益虫は、害虫を食べてくれる大切な存在だ。,거미나 소금쟁이 같은 익충은 해충을 먹어 주는 소중한 존재다。
本当ですね。こうなったら、自己紹介でもしますか。,"정말이네요. 이렇게 된 거, 자기소개라도 할까요?"
夕日に照らされて、海面がオレンジ色に輝いている。,석양에 비춰져 해수면이 주황색으로 빛나고 있다.
長い抑圧の歴史が、この地域の文化に深い影響を与えている。,오랜 억압의 역사가 이 지역 문화에 깊은 영향을 주고 있다.
この単語の用法を例文と一緒に辞書で確認した。,이 단어의 용법을 예문과 함께 사전에서 확인했다.
家のとなりに公園があります。,집 옆에 공원이 있습니다.
雨が降ってきたので、傘をさします。,비가 내려서 우산을 씁니다.
彼は会議をきっちり仕切るタイプだ。,그는 회의를 꼼꼼히 주도하는 타입이다.
その提案は部長に一蹴された。,그 제안은 부장에게 일축당했다.
敵の攻撃を阻止するため、防御壁を築いた。,적의 공격을 저지하기 위해 방어벽을 쌓았다.
彼の主張は全く理にかなっていない。,그의 주장은 전혀 이치에 맞지 않는다.
パレードで学生たちが整然と行進していった。,퍼레이드에서 학생들이 질서 정연하게 행진해 갔다.
父は出勤前に駅の売店で夕刊を買うのが日課だ。,아버지는 출근 전에 역 매점에서 석간 신문을 사는 것이 일과다.
カーテンの隙間から朝の光線が差し込んできた。,커튼 틈으로 아침 햇빛이 들어왔다.
医療費の一部は所得から控除される。,의료비의 일부는 소득에서 공제된다.
彼女は怒って、ぷいとそっぽを向いてしまった。,그녀는 화가 나서 휙 하고 다른 쪽을 봐 버렸다.
飲酒のあとに運転しないのは、最低限のマナーだ。,음주 후 운전하지 않는 것은 최소한의 예의다.
祖母は昔の田舎暮らしを懐かしんでいる。,할머니는 옛날 시골 생활을 그리워하고 있다.
商品の在庫について電話で問い合わせがあった。,상품 재고에 대해 전화로 문의가 있었다.
お店のドアが閉まっています。,가게 문이 닫혀 있습니다。
窓を開けて、空気を入れ替えます。,창문을 열어 공기를 환기시킵니다。
天気が悪いと頭痛がする。,날씨가 안 좋으면 두통이 난다.
この問題は、少し調べれば容易に解決できる。,이 문제는 조금만 조사하면 용이하게 해결할 수 있다.
この国は多くの食料を海外から輸入している。,이 나라는 많은 식량을 해외에서 수입하고 있다.
緊急事態に備えて、適切な措置を講じる必要がある。,비상사태에 대비하여 적절한 조치를 강구할 필요가 있다.
この物件は、地元の不動産が仲介してくれた。,이 매물은 지역 부동산이 중개해 줬다.
失敗を恐れて浮き足立つと、かえってミスをしやすい。,"실패를 두려워하여 안절부절못하면(들뜨면), 오히려 실수를 하기 쉽다."
水素はクリーンなエネルギーとして注目されている。,수소는 깨끗한 에너지로서 주목받고 있다.
夜空の真上に明るい星が一つ輝いている。,밤하늘의 머리 위 한가운데에 밝은 별 하나가 빛나고 있다.
若い役者たちが、小さな劇場で全力の芝居を見せてくれた。,젊은 배우들이 작은 극장에서 온힘을 다한 연기를 보여 주었다.
財布の中には硬貨が少ししか残っていなかった。,지갑 안에는 동전이 조금밖에 남아 있지 않았다.
塩を水に溶かして、簡単な食塩水の溶液を作る。,소금을 물에 녹여 간단한 식염수 용액을 만든다.
彼は和よりも洋が好きで、家も洋風のインテリアにしている。,그는 일본식보다 양식을 좋아해서 집도 서양풍 인테리어로 꾸몄다.
先生が黒板の地図を指差して、重要な都市の位置を説明した。,선생님이 칠판의 지도를 손가락으로 가리키며 중요한 도시의 위치를 설명했다.
古い屋根から雨が漏る音が、夜通し静かに続いていた。,낡은 지붕에서 빗물이 새는 소리가 밤새도록 조용히 이어졌다.
液体を移し替える前に、清潔な容器を用意してください。,액체를 옮기기 전에 깨끗한 용기를 준비해 주세요.
彼は権威を憚ることなく、真実を語った。,그는 권위를 꺼리지 않고 진실을 말했다.
塵も積もれば山となる,티끌 모아 태산
お父さんは毎朝新聞を読みます。,아버지는 매일 아침 신문을 읽으십니다.
故あって、今回の計画からは身を引くことにしました。,어떤 사정이 있어 이번 계획에서는 물러나기로 했습니다.
彼は、思想の違いからその政治団体を脱退した。,그는 사상 차이로 그 정치 단체를 탈퇴했다.
牛乳がなかったので、スキムミルクで代用した。,우유가 없어서 탈지분유로 대용했다.
夕方、公園は子どもたちでいっぱいだ。,"저녁 무렵, 공원은 아이들로 가득하다."
彼女は日頃から倹約を心がけて、しっかり貯金している。,그녀는 평소에 검약을 실천하며 꼬박꼬박 저축하고 있다.
昔は、多くの女性がタイピストとして働いていた。,옛날에는 많은 여성이 타이피스트로 일했다.
毎日の充分な睡眠は、健康に不可欠だ。,매일의 충분한 수면은 건강에 필수적이다.
夏は海で泳ぐのが一番だ。,여름은 바다에서 수영하는 것이 최고다.
